i94port,i94port_name,i94port_state,i94port_relevant
CLE,CLEVELAND,OH,RELEVANT
CLM,COLUMBUS,OH,RELEVANT
LOR,LORAIN,OH,RELEVANT
MBO,MARBLE HEADS,OH,RELEVANT
SDY,SANDUSKY,OH,RELEVANT
TOL,TOLEDO,OH,RELEVANT
OKC,OKLAHOMA CITY,OK,RELEVANT
TUL,TULSA,OK,RELEVANT
AST,ASTORIA,OR,RELEVANT
COO,COOS BAY,OR,RELEVANT
HIO,HILLSBORO,OR,RELEVANT
MED,MEDFORD,OR,RELEVANT
NPT,NEWPORT,OR,RELEVANT
POO,PORTLAND,OR,RELEVANT
PUT,PUT-IN-BAY,OH,RELEVANT
RDM,ROBERTS FIELDS - REDMOND,OR,RELEVANT
ERI,ERIE,PA,RELEVANT
MDT,HARRISBURG,PA,RELEVANT
HSB,HARRISONBURG,PA,RELEVANT
PHI,PHILADELPHIA,PA,RELEVANT
PIT,PITTSBURG,PA,RELEVANT
AGU,AGUADILLA,PR,RELEVANT
BQN,BORINQUEN - AGUADILLO,PR,RELEVANT
JCP,CULEBRA - BENJAMIN RIVERA,PR,RELEVANT
ENS,ENSENADA,PR,RELEVANT
FAJ,FAJARDO,PR,RELEVANT
HUM,HUMACAO,PR,RELEVANT
JOB,JOBOS,PR,RELEVANT
MAY,MAYAGUEZ,PR,RELEVANT
PON,PONCE,PR,RELEVANT
PSE,PONCE-MERCEDITA,PR,RELEVANT
SAJ,SAN JUAN,PR,RELEVANT
VQS,VIEQUES-ARPT,PR,RELEVANT
PRO,PROVIDENCE,RI,RELEVANT
PVD,THEODORE FRANCIS - WARWICK,RI,RELEVANT
CHL,CHARLESTON,SC,RELEVANT
CAE,COLUMBIA,SC,RELEVANT
GEO,GEORGETOWN,SC,RELEVANT
GSP,GREENVILLE,SC,RELEVANT
GRR,GREER,SC,RELEVANT
MYR,MYRTLE BEACH,SC,RELEVANT
SPF,BLACK HILLS  SPEARFISH,SD,RELEVANT
HON,HOWES REGIONAL ARPT - HURON,SD,RELEVANT
TYS,MC GHEE TYSON - ALCOA,TN,RELEVANT
MEM,MEMPHIS,TN,RELEVANT
NSV,NASHVILLE,TN,RELEVANT
TRI,TRI CITY ARPT,TN,RELEVANT
ADS,ADDISON AIRPORT- ADDISON,TX,RELEVANT
ADT,AMISTAD DAM,TX,RELEVANT
ANZ,ANZALDUAS,TX,RELEVANT
AUS,AUSTIN,TX,RELEVANT
BEA,BEAUMONT,TX,RELEVANT
BBP,BIG BEND PARK,TX,RELEVANT
SCC,BP SPEC COORD. CTR,TX,RELEVANT
BTC,BP TACTICAL UNIT,TX,RELEVANT
BOA,BRIDGE OF AMERICAS,TX,RELEVANT
BRO,BROWNSVILLE,TX,RELEVANT
CRP,CORPUS CHRISTI,TX,RELEVANT
DAL,DALLAS,TX,RELEVANT
DLR,DEL RIO,TX,RELEVANT
DNA,DONNA,TX,RELEVANT
EGP,EAGLE PASS,TX,RELEVANT
ELP,EL PASO,TX,RELEVANT
FAB,FABENS,TX,RELEVANT
FAL,FALCON HEIGHTS,TX,RELEVANT
FTH,FORT HANCOCK,TX,RELEVANT
AFW,FORT WORTH ALLIANCE,TX,RELEVANT
FPT,FREEPORT,TX,RELEVANT
GAL,GALVESTON,TX,RELEVANT
HLG,HARLINGEN,TX,RELEVANT
HID,HIDALGO,TX,RELEVANT
HOU,HOUSTON,TX,RELEVANT
SGR,HULL FIELD  SUGAR LAND ARPT,TX,RELEVANT
LLB,JUAREZ-LINCOLN BRIDGE,TX,RELEVANT
LCB,LAREDO COLUMBIA BRIDGE,TX,RELEVANT
LRN,LAREDO NORTH,TX,RELEVANT
LAR,LAREDO,TX,RELEVANT
LSE,LOS EBANOS,TX,RELEVANT
IND,LOS INDIOS,TX,RELEVANT
LOI,LOS INDIOS,TX,RELEVANT
MRS,MARFA,TX,RELEVANT
MCA,MCALLEN,TX,RELEVANT
MAF,ODESSA REGIONAL,TX,RELEVANT
PDN,PASO DEL NORTE,TX,RELEVANT
PBB,PEACE BRIDGE,NY,RELEVANT
PHR,PHARR,TX,RELEVANT
PAR,PORT ARTHUR,TX,RELEVANT
ISB,PORT ISABEL,TX,RELEVANT
POE,PORT OF EL PASO,TX,RELEVANT
PRE,PRESIDIO,TX,RELEVANT
PGR,PROGRESO,TX,RELEVANT
RIO,RIO GRANDE CITY,TX,RELEVANT
ROM,ROMA,TX,RELEVANT
